LinkID;LinkIDFrom;LinkIDTo;Qmax_spl;Qkap;Qskut;Vskut;Hskut_h;Hskut_d;Qhmax;Q24
2436446;723054;723055;0.0357;755.6886;39.3362;0.7981;349.5239;349.472;0.0357;0.0357
2436447;723055;723056;0.0358;755.6886;39.0515;0.797;349.472;349.4219;0.0358;0.0358
2436448;723056;723057;0.0358;755.6886;38.6209;0.7974;349.4219;349.3526;0.0358;0.0358
2436450;723057;723058;0.0358;755.6886;38.7057;0.7953;349.3526;349.298;0.0358;0.0358
2436451;723058;723059;0.0359;755.6886;38.5825;0.7956;349.298;349.2461;0.0358;0.0358
2436452;723059;723060;0.036;755.6886;38.1894;0.8021;349.2461;349.1749;0.0359;0.0358
2436453;723060;723061;0.0359;755.6886;38.1394;0.8213;349.1749;349.1168;0.0359;0.0359
2436454;723061;723062;0.0446;939.9936;38.2286;0.785;349.1168;349.0764;0.0446;0.0446
2436455;723062;723063;0.0446;939.9936;38.2423;0.6762;349.0764;349.0587;0.0446;0.0446
2436456;723063;723064;0.0447;939.9936;62.307;1.0089;349.0587;349.0307;0.0446;0.0446
2436457;723064;723065;0.0447;920.9985;61.3453;0.9534;349.0307;349.0315;0.0446;0.0446
2436458;723065;723066;0.0448;939.9936;60.0601;0.8525;349.0315;349.0324;0.0446;0.0446
2436459;723066;723067;0.0447;624.8636;57.6854;0.7732;349.0324;349.0324;0.0446;0.0446
2436460;723067;188728;0.0447;939.9936;55.3275;0.6707;349.0324;349.0327;0.0446;0.0446
2436745;723108;723113;0.0528;1122.1151;29.8569;0.9381;349.5908;349.4784;0.0528;0.0528
2516438;821592;821591;0.1363;123.417;16.3537;1.2085;320.7547;320.3959;0.1343;0.103
2516439;821590;63586;0.166;121.0429;6.8764;0.159;320.3573;320.3562;0.1639;0.1251
2516440;219130;63973;1.0586;523.4171;477.9189;1.6677;350.3578;350.3262;1.0307;0.6658
2516441;61556;219130;0.1544;1008.7818;36.1315;1.2409;351.0052;350.3578;0.1502;0.093
2519944;827029;53108;0.0748;1555.3838;1058.6092;4.0061;311.731;310.6655;0.0748;0.0748
2521222;828000;60665;5.1742;288.6484;101.4394;1.8412;313.1201;313.0158;1.8465;1.1182
2526642;60094;838230;0.7272;445.9567;514.6445;4.1878;309.4606;308.6742;0.7151;0.4852
2526644;838231;65241;0.7971;1432.9743;559.2449;4.2231;304.5433;303.5168;0.784;0.531
2526645;838230;838231;0.7272;1285.5841;513.9125;4.2563;308.6742;304.5433;0.7149;0.4852
2526646;65240;838232;0.8851;1006.048;556.6808;3.3627;302.3113;302.182;0.8709;0.5888
2526647;838232;65239;1.9611;1006.048;554.4921;2.7163;302.182;301.8734;1.9258;1.2869
2368288;499213;164723;0.3428;46.9002;54.3406;0.8945;332.7692;332.7219;0.3389;0.2558
2368561;164723;499214;0.4643;72.3733;62.3302;1.0679;332.7219;332.6698;0.459;0.3464
2368881;52833;653605;0.3088;371.0638;328.9707;1.7227;300.6913;300.5958;0.2986;0.2103
2368882;653605;51990;0.3263;370.1039;282.8257;1.7382;300.5958;300.5862;0.3155;0.2218
2379469;662862;56499;2.3807;1036.6106;237.5329;2.5894;349.6581;348.6251;1.948;0.8198
2379470;662884;60138;0.0054;117.1403;58.0939;1.0022;351.8606;351.6147;0.0054;0.0053
2379471;662868;56494;0.1025;2498.7384;24.7216;0.4042;347.9084;347.9084;0.1025;0.1024
2379761;656511;662870;0.573;183.0436;3.9928;0.2462;351.7088;351.7085;0.5596;0.3638
2379762;662870;56509;0.6703;346.589;21.8695;0.5478;351.7085;351.6259;0.6551;0.426
2379764;662872;662873;0.0045;95.2118;16.5961;0.565;352.6858;352.3324;0.0045;0.0045
2379765;662873;662874;0.0045;41.9987;30.1277;0.8177;352.3324;352.2719;0.0045;0.0045
2379766;662880;662875;0.0025;52.4831;33.453;1.7326;354.6975;353.9944;0.0025;0.0025
2379767;662875;662881;0.005;56.2462;29.4113;1.1741;353.9944;353.7418;0.005;0.005
2379768;662876;662875;0.0025;53.9446;2.0408;0.0936;353.9951;353.9944;0.0025;0.0025
2379769;662881;662882;0.005;43.9648;46.1536;1.4679;353.7418;353.109;0.005;0.005
2379770;662882;662883;0.005;25.7796;44.7652;1.4238;353.109;352.4788;0.005;0.005
2379771;662883;662884;0.005;23.5038;44.4125;1.4472;352.4788;351.8606;0.005;0.005
